emp_uid,days_present,days_absent,days_absent_min,total_tardy_min,total_tardiness
238,13,0,,,0
265,13,0,,163,163
314,13,0,,489,489
318,13,0,,693,693
320,13,0,,41,41
349,13,0,,7,7
351,13,0,,165,165
354,13,0,,,0
356,12,1,480,335,815
357,11,2,960,43,1003
360,13,0,,,0
371,13,0,,52,52
364,12,1,480,62,542
377,13,0,,221,221
379,12,1,480,133,613
381,12,1,480,83,563
384,11,2,960,115,1075
383,13,0,,,0
382,11,2,960,122,1082
277,12,1,480,103,583
279,13,0,,45,45
266,13,0,,9,9
348,13,0,,10,10
355,13,0,,,
342,13,0,,,
141,13,0,,,
142,13,0,,,
365,13,0,,226,226
358,13,0,,177,177
368,13,0,,244,244
373,13,0,,458,458
75,13,0,,517,517
22,13,0,,,
385,12,1,480,,480
374,12,1,480,46,526
375,13,,,177,177
376,13,,,,0
8,,,,,
167,,,,,
370,,,,,
380,,,,,
