emp_uid,days_present,days_absent,days_absent_min,total_tardy_min,total_tardiness
238,,0,0,0,0
265,9,4,0,1920,1920
314,9,4,0,1920,1920
318,9,4,0,1920,1920
320,3,10,0,4800,4800
349,9,4,0,1920,1920
351,9,4,0,1920,1920
354,11,2,0,960,960
356,9,4,0,1920,1920
357,9,4,0,1920,1920
360,9,4,0,1920,1920
371,9,4,0,1920,1920
364,9,4,0,1920,1920
377,12,1,0,5760,5760
379,9,4,0,1920,1920
381,9,4,0,1920,1920
384,,,,,
383,9,4,0,1920,1920
382,9,4,0,1920,1920
277,9,4,0,1920,1920
279,9,4,0,1920,1920
266,9,4,0,1920,1920
348,9,4,0,1920,1920
355,9,4,0,1920,1920
342,9,4,0,1920,1920
141,9,4,0,1920,1920
142,9,4,0,1920,1920
365,7,6,0,2880,2880
358,7,6,0,2880,2880
368,6,7,,3360,3360
373,7,6,0,2880,2880
75,7,6,0,2880,2880
22,,,,,
385,,,,,
374,9,4,0,1920,1920
375,8,5,0,3840,3840
376,8,5,0,3840,3840
8,9,4,0,1920,1920
167,7,6,0,2880,2880
370,4,9,0,4320,4320
380,4,9,0,4320,4320
