emp_uid,days_present,days_absent,days_absent_min,total_tardy_min,total_tardiness
238,6,6,2880,0,2880
265,12,0,0,31,31
314,11,1,480,262,742
318,11,1,480,138,618
320,12,0,0,36,36
349,9,3,1440,43,1483
351,4,8,3840,0,3840
354,12,0,0,480,480
356,3,9,4320,0,4320
357,5,7,3360,0,3360
360,11,1,480,0,480
371,11,1,480,0,480
364,4,8,3840,0,3840
377,2,10,4800,0,4800
379,12,0,0,0,0
381,5,7,3360,0,3360
384,12,0,0,0,0
383,4,8,3840,0,3840
382,4,8,3840,0,3840
277,9,3,1440,300,1740
279,9,3,1440,342,1782
266,9,3,1440,300,1740
348,8,4,1920,358,2278
355,12,0,0,0,0
342,12,0,0,0,0
141,12,0,0,0,0
142,12,0,0,0,0
365,11,1,480,37,517
358,10,2,960,0,960
368,10,2,960,0,960
373,11,1,480,0,480
75,11,1,480,0,480
22,12,0,0,0,0
385,12,0,0,0,0
374,12,0,0,0,0
375,12,0,0,0,109
376,12,0,0,0,0
8,12,0,0,0,307
167,12,0,0,0,303
370,12,0,0,0,0
380,12,0,0,0,0
