emp_uid;days_present;days_absent;days_absent_min;total_tardy_min;total_tardiness;;;
238;13;0;;;;;;
265;12;1;480;15;495;;;
314;12;1;480;269;749;;;
318;13;0;;24;24;;;
320;13;0;;67;67;;;
349;13;0;;20;20;;;
351;12;1;480;267;747;;;
354;13;0;;24;24;;;
356;11;2;960;241;1201;;;
357;12;1;480;28;508;;;
360;12;1;480;104;584;;;
371;13;0;;50;50;;;
364;12;1;480;105;585;;;
377;13;0;;26;26;;;
379;12;1;480;74;554;;;
381;13;0;;245;245;;;
384;13;0;;;;;;
383;13;0;;35;35;;;
382;13;0;;17;17;;;
277;13;0;;15;15;;;
279;13;0;;21;21;;;
266;13;0;;15;15;;;
348;13;0;;20;20;;;
355;13;0;;;;;;
342;13;0;;;;;;
141;13;0;;;;;;
142;13;0;;;;;;
365;13;0;;15;15;;;
358;13;0;;;;;;
368;13;0;;120;120;;;
373;13;0;;;;;;
75;13;0;;;;;;
22;13;0;;;;;;
385;13;0;;;;;;
374;11;2;960;;960;;;
375;13;0;;224;224;;;
376;12;1;480;;480;;;
8;13;0;;;;;;
167;13;0;;;;;;
370;13;0;;;;;;
380;13;0;;;;;;
