emp_uid;days_present;days_absent;days_absent_min;total_tardy_min;total_tardiness;;;;
238;11;2;960;250;1210;;;;
265;13;0;;101;101;;;;
314;11;2;960;241;1201;;;;
318;13;0;;24;24;;;;
320;13;0;;124;124;;;;
349;13;0;;20;20;;;;
351;13;0;;258;258;;;;
354;13;0;;34;34;;;;
356;12;1;480;134;614;;;;
357;13;0;;167;167;;;;
360;11;2;960;16;976;;;;
371;12;1;480;24;504;;;;
364;13;0;;35;35;;;;
377;12;1;480;54;534;;;;
379;13;0;;240;240;;;;
381;13;0;;167;167;;;;
384;13;0;;;;;;;
383;13;0;;187;187;;;;
382;13;0;;15;15;;;;
277;13;0;;36;36;;;;
279;13;0;;120;120;;;;
266;13;0;;28;28;;;;
348;13;0;;20;20;;;;
355;13;0;;;;;;;
342;13;0;;;;;;;
141;13;0;;;;;;;
142;13;0;;;;;;;
365;13;0;;167;167;;;;
358;13;0;;94;94;;;;
368;13;0;;27;27;;;;
373;13;0;;30;30;;;;
75;13;0;;;;;;;
22;13;0;;;;;;;
385;13;0;;;;;;;
374;11;2;;18;18;;;;
375;13;0;;234;234;;;;
376;12;1;;15;15;;;;
8;13;0;;;;;;;
167;13;0;;;;;;;
370;13;0;;15;15;;;;
380;13;0;;25;25;;;;
